CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 3524.71 , 2437.51 
 0.00 , 3562.60 , 2464.73 
2590.58 ,  0.00 , 2409.24 
 0.00 , 899.33 , 604.51 
 0.00 , 2563.69 , 1754.41 
 0.00 , 2638.17 , 1806.83 
 0.00 , 2747.65 , 1884.06 
 0.00 , 2849.22 , 1955.87 
 0.00 , 2891.41 , 1985.74 
 0.00 , 2982.36 , 2050.24 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4713.89 , 3303.00 
 0.00 , 4569.69 , 3196.83 
 0.00 , 4396.60 , 3069.84 
 0.00 , 4236.87 , 2953.08 
 0.00 , 4110.46 , 2860.98 
 0.00 , 4029.91 , 2802.41 
 0.00 , 3994.22 , 2776.50 
 0.00 , 3985.48 , 2770.16 
2524.24 , 3991.34 , 5134.68 
 0.00 , 4104.67 , 2856.76 
 0.00 , 4065.68 , 2828.41 
 0.00 , 3882.09 , 2695.23 
 0.00 , 3856.22 , 2676.50 
 0.00 , 3838.06 , 2663.36 
 0.00 , 3877.72 , 2692.06 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1385.10 , 935.88 
 0.00 , 2836.26 , 1946.70 
 0.00 , 2908.71 , 1998.00 
 0.00 , 2962.39 , 2036.06 
 0.00 , 3006.11 , 2067.10 
 0.00 , 3098.62 , 2132.87 
 0.00 , 3134.99 , 2158.76 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4852.35 , 3405.26 
2621.25 , 4038.16 , 5259.77 
 0.00 , 3383.97 , 2336.57 
 0.00 , 2820.29 , 1935.40 
 0.00 , 2301.40 , 1570.44 
 0.00 , 1964.23 , 1335.49 
 0.00 , 1924.60 , 1307.98 
 0.00 , 2553.99 , 1747.59 
 0.00 , 3044.37 , 2094.29 
 0.00 , 3400.95 , 2348.73 
 0.00 , 3519.06 , 2433.45 
 0.00 , 3335.79 , 2302.09 
 0.00 , 3335.20 , 2301.66 
 0.00 , 3388.19 , 2339.59 
 0.00 , 3389.63 , 2340.62 
2590.58 ,  0.00 , 2409.24 
 0.00 , 512.31 , 342.94 
 0.00 , 2354.51 , 1607.61 
 0.00 , 2433.63 , 1663.05 
 0.00 , 2491.98 , 1704.01 
 0.00 , 2593.51 , 1775.39 
 0.00 , 2636.22 , 1805.46 
 0.00 , 2672.67 , 1831.15 
 0.00 , 6282.13 , 4480.00 
